stock_code,company_name,exchange,board,prospectus_title,prospectus_date,prospectus_url,source_platform
688411,海博思创,SSE,科创板,海博思创首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-01-22/1222389596.PDF,巨潮资讯
688545,兴福电子,SSE,科创板,兴福电子首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-01-17/1222355547.PDF,巨潮资讯
688583,思看科技,SSE,科创板,思看科技首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-01-10/1222285798.PDF,巨潮资讯
688727,恒坤新材,SSE,科创板,恒坤新材首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-11-13/1224802223.PDF,巨潮资讯
688729,屹唐股份,SSE,科创板,屹唐股份首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-07-03/1224068769.PDF,巨潮资讯
688755,汉邦科技,SSE,科创板,汉邦科技首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-05-13/1223528584.PDF,巨潮资讯
688757,胜科纳米,SSE,科创板,胜科纳米首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-03-20/1222846384.PDF,巨潮资讯
688758,赛分科技,SSE,科创板,赛分科技首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,巨潮资讯
688759,必贝特,SSE,科创板,必贝特首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-10-23/1224726268.PDF,巨潮资讯
688765,禾元生物,SSE,科创板,禾元生物首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-10-20/1224719933.PDF,巨潮资讯
688775,影石创新,SSE,科创板,影石创新首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,巨潮资讯
688783,西安奕材,SSE,科创板,西安奕材首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-10-22/1224723727.PDF,巨潮资讯
688790,昂瑞微,SSE,科创板,昂瑞微首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-11/1224867086.PDF,巨潮资讯
688795,摩尔线程,SSE,科创板,摩尔线程首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-11-28/1224831699.PDF,巨潮资讯
688796,百奥赛图,SSE,科创板,百奥赛图首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-04/1224848797.PDF,巨潮资讯
688802,沐曦股份,SSE,科创板,沐曦股份首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-11/1224867078.PDF,巨潮资讯
688805,健信超导,SSE,科创板,健信超导首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-19/1224886206.PDF,巨潮资讯
688807,优迅股份,SSE,科创板,优迅股份首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-12/1224870082.PDF,巨潮资讯
688809,强一股份,SSE,科创板,强一股份首次公开发行股票并在科创板上市招股说明书,,http://static.cninfo.com.cn/finalpage/2025-12-25/1224897120.PDF,巨潮资讯
