check_type,date,subscriber_count,total_shares_wan,total_amount_wan,code,company
cross_check_total,2008-05-07,2,50,50,301563,云汉芯城
cross_check_total,2018-06-28,10,635.0,15120,301563,云汉芯城
cross_check_total,2020-05-28,1,113.0488,5000,301563,云汉芯城
cross_check_total,2020-09-23,2,135.6586,7000,301563,云汉芯城
cross_check_total,2021-11-11,2,514.2857,0,301581,黄山谷捷
cross_check_total,2022-05-26,1,90.2256,0,301581,黄山谷捷
cross_check_total,2020-09-27,3,1380,11500,603418,友升股份
cross_check_total,2022-12-19,10,0,0,603418,友升股份
cross_check_total,2009-03-11,3,0,0,688758,赛分科技
cross_check_total,2010-06-17,1,0,0,688758,赛分科技
cross_check_total,2011-04-19,3,0,0,688758,赛分科技
cross_check_total,2021-04-01,4,0,0,688758,赛分科技
cross_check_total,2015-07-09,1,1000.0,1000.0,688775,影石创新
cross_check_total,2020-01-18,1,36000.0,0,688775,影石创新
cross_check_total,2022-08-09,2,0,0,920100,三协电机
cross_check_total,2023-09-06,15,0,0,920100,三协电机
cross_check_total,2023-05-19,3,750.0,4725.0,920116,星图测控
